1;Ají Picante
2;Ají Dulce
3;Yuca
5;Anón
6;Auyama
7;Babo
8;Bachaco
9;Bachaco limonero
10;Termitas
11;Bagre
12;Bagre rayado
13;Bagre sierra
14;Batata
15;Bagre Blanco Pobre
16;Bocachico
17;Bocón
18;Cacao
19;Cachamoto
20;Cajaro
21;Caña de azúcar
22;Caribe
23;Carurú
26;Cebolla
27;Chiquichiqui
28;Cilantro
29;Cocura
30;Copoasú
30;Copoasú
31;Copoo
32;Corazón de blanco gruya
33;Cucurito
34;Curbina
35;Danto
36;Lechosa
37;Frijol
38;Gallina Roja
39;Guada
40;Guama
41;Guayaba Arazá
42;Pijiguao
43;Platano
44;Moriche
45;Seje
46;Mango, seje y moriche
48;Topocho
49;Payara
50;Gallina
51;Tortuga Terecay
52;Jenjibre
53;Manaca
54;Seje
55;Seje Pequeño 
56;Lairén
57;Lechosa
58;Limón Brasileño
59;Limón criollo
60;Maíz
61;Mamón
62;Mandarinas
63;No deter
64; Mamure
65;Mapuey
66;Merey
67;Miel
68; Miel de Arica y africana
69;Morocoto
70;Naranjas
71;Naranjillo
72;Ñame
73; Ocumo
74;Ocumo chino
75;Onoto
76;Orégano
77;Palometa
78;Parchita de monte
79;Pavón Lapa
80;Payara
81;Pendare
82;No deter
83;Picua
84;Piña
85;Pollo
86;Sapoara
87;Sardinata
88;Temare
89;Temarito
90;Tomate
91;Tortugas
92;Tupirito
93;Tupiro
94;Vaquiro
95;Yuri
96;Titiaro
97;Cambur
97;Lapa
98;Manzano
99;Niña
;No deter
